model_answer,unbiased_label
 A: The Super Bowl halftime show is always a big deal. It is the most watched musical event of the year. The Super Bowl halftime show is always a big deal. It is the most watched musical event of the year.,
 A: A file is a collection of all types of documents used in the banks and offices.,
 A: Jose Rizal,
 A: The UK,
 A: The movie Proof of Life takes place in the jungles of South America.,
" A: The saying ""monkey's uncle"" is a British expression that means ""a person who is not at all like the person he is supposed to be like.""",
 A: The Vice President of the United States breaks a tie in the Senate.,
" A: The scene where Robin and the gang are in the bar and the bartender is serving them drinks is from the movie ""Robin and the 7 Hoods"".",
 A: The joule is a derived SI unit of energy. It is equal to the energy expended in applying a force of one newton through a distance of one meter.,
 A: The movie Coming to America was shot in New York City.,
" A: US Highway 1 starts in Key West, Florida and ends in Fort Kent, Maine.",
" A: Drew Barrymore, Lucy Liu, and Cameron Diaz.",
 A: Wilt Chamberlain scored 100 points in a game in 1962.,
" A: Natural gas is found in the United States in the following states: Alaska, California, Colorado, Louisiana, Montana, New Mexico, North Dakota, Oklahoma, Texas, Utah, and Wyoming.",
 A: The first general elections in independent India were held in 1951.,
 A: The Tower of London was originally used as a royal residence.,
" A: The school is located in Parkland, Florida. The school is located in Broward County. The school is located in the United States. The school is located in the state of Florida. The school is located in the county of Broward",
 A: Zippo lighters use lighter fluid.,
 A: Hindi,
 A: The son was killed by the martians.,
 A: Chris Pine,
 A: The agent in I Can Only Imagine was played by Dennis Quaid.,
 A: The Mad Hatter was played by Michael Gough.,
 A: You can't.,
" A: There are over 1,000 Cracker Barrels in the United States.",
 A: CO2 is fixed to ribulose bisphosphate (RuBP) to form two molecules of 3-phosphoglycerate (3PG).,
 A: The voice of Randy Marsh is provided by Trey Parker.,
 A: The poster is a picture of a girl with a red apple in her mouth.,
 A: The ice cream man was played by Ron Cephas Jones.,
 A: Cadbury sells its products in over 100 countries.,
 A: The Western Conference Finals are between the Los Angeles Lakers and the Portland Trail Blazers.,
 A: It means that you are not happy with your life.,
" A: Ethiopian Airlines Flight 961 was a scheduled flight from Addis Ababa, Ethiopia, to Nairobi, Kenya, with a stopover in Djibouti. On November 23, 1996, the Boeing 767-200ER crashed",
" A: ISTJ stands for Introverted, Sensing, Thinking, Judging.",
 A: I think it's the girl who plays the girl who plays the girl who plays the girl who plays the girl who plays the girl who plays the girl who plays the girl who plays the girl who plays the girl who plays the girl who plays,
 A: The vertebral column is located in the spinal cord.,
" A: The term skin in the game comes from the Latin phrase ""Caveat emptor,"" which means ""Let the buyer beware.""",
 A: Mount St. Helens is located in the state of Washington.,
 A: The Great Wall of China was built in the 5th century BC.,
 A: Habitat fragmentation can lead to extinction.,
" A: ""If you live by the sword, you die by the sword"" is a Biblical quotation from the New Testament, Matthew 26:52. It is spoken by Jesus Christ, who is quoting from the Old Testament, Isaiah 53:12.",
 A: The Weaver family came from England.,
" A: National Parks, National Forests, National Wildlife Refuges, National Monuments, National Recreation Areas, National Seashores, National Lakeshores, National Preserves, National Battlefields, National Memorials, National Battlefield Parks, National",
 A: Ash is voiced by Veronica Taylor.,
 A: The colonies wanted independence because they were tired of being controlled by the British.,
" A: The Loma Prieta earthquake occurred on October 17, 1989, at 5:04 p.m. local time in the San Francisco Bay Area, with a moment magnitude of 7.1 and a maximum Mercalli intensity of IX (""Viol",
" A: Kareem Abdul-Jabbar scored the most points in NBA history with 38,387.",
 A: The 49ers last won a Super Bowl in 1994.,
 A: Wisconsin ranks as the 30th largest state in the United States.,
 A: The Mary River starts in the Mary River National Park and flows into the Coral Sea.,
" A: The song ""Mary's Boy Child"" was written by Harry Belafonte and was first recorded in 1957. It was re-recorded in 1978 by Boney M.",
 A: Charles is played by Michael Nouri.,
" A: The Nathan's Hot Dog Eating Contest is held in Coney Island, New York.",
" A: My Country, My Life is a book written by the former Prime Minister of India, Atal Bihari Vajpayee.",
 A: A person who is on parole is on probation.,
 A: The East India Company was dissolved in 1874.,
 A: The stations of the cross originated in the Middle Ages.,
 A: Lake Eyre is filled by the flow of the Cooper Creek and the Diamantina River.,
" A: Yes, 808 is a toll free number.",
 A: Google was founded by Larry Page and Sergey Brin in 1998.,
 A: The tabula rasa concept is consistent with the perspective of language development.,
 A: The Dominican Republic gained its independence from Spain in 1821.,
 A: They used them as tools.,
 A: Jeanie with the Light Brown Hair was written by Stephen Foster.,
 A: Elena Gilbert,
 A: The Washington Post is owned by the Graham family. The New York Times is owned by the Sulzberger family.,
" A: There are three sizes of beds: twin, full, and queen.",
 A: The troubadours were a group of musicians who traveled around the country singing and playing music.,
" A: The basic steps of rational decision making include defining goals and objectives, identifying alternatives, evaluating alternatives, and selecting the best alternative.",
 A: Art Deco was a design period that lasted from the 1920s to the 1940s.,
" A: The Bob and Tom Show broadcasts from Indianapolis, Indiana.",
" A: The Clone Wars Season 3 Episode 1 is called ""ARC Troopers.""",
 A: The frontal lobe is responsible for complex thinking.,
 A: Real Madrid won the Champions League final in 2016.,
 A: The federal long term capital gains tax rate for 2017 is 15%.,
 A: Jodie Foster,
 A: The most gold medals in the Winter Olympics of all time are held by Norway.,
" A: The movie was filmed in the city of Los Angeles, California.",
 A: The Atlas Mountains have a very small effect on rainfall. The Atlas Mountains are located in the northern part of Africa. The Atlas Mountains are located in the northern part of Africa.,
 A: Captain America: The First Avenger Captain America: The Winter Soldier Captain America: Civil War,
 A: A limit of a function does not exist if the function is not defined at the point where the limit is being evaluated.,
" A: The song ""I Don't Like Mondays"" was released in 1979.",
 A: Class B stars are hotter than Class A stars.,
 A: The PS3 games that are compatible with remote play are:,
" A: Revenge of the Nerds is a 1984 comedy film. It was directed by Jeff Kanew and stars Robert Carradine, Anthony Edwards, Curtis Armstrong, Ted McGinley, and Timothy Busfield.",
 A: They are all capitalist.,
" A: The sun represents the sun god, Inti.",
 A: Marcel Gerard,
" A: No, this is a myth.",
 A: Beryl Markham flew across the Atlantic in 1936.,
" A: The Tropic of Cancer passes through the following states: Florida, Georgia, Alabama, Mississippi, Louisiana, Texas, Arkansas, Missouri, Kentucky, Tennessee, North Carolina, South Carolina, Georgia, Florida.",
 A: John Clark Sr. was played by James McDaniel.,
 A: The pearl is a symbol of purity and innocence.,
 A: They are in the kitchen.,
 A: Here Comes the Boom was released in 2012.,
 A: Archie ends up with Veronica.,
" A: The main bearing caps are different. The 4 bolt main caps are thicker and have 4 bolts, the 2 bolt main caps are thinner and have 2 bolts.",
 A: Thomas Jefferson,
 A: The African continent was isolated from the European Old World by the Sahara Desert.,
 A: Brant Daugherty plays Noel Kahn.,
 A: The power of judicial review is the power of the Supreme Court to declare laws unconstitutional.,
 A: Alesha Dixon,
 A: The Green Room is the room in the White House where the President entertains guests.,
 A: Leonardo da Vinci,
 A: Amy Grant played herself in the movie I Can Only Imagine.,
 A: The art of learning from text objects or speech is called learning.,
 A: India's GDP growth rate in the last 10 years was 6.5%.,
 A: The climate of the United States can be best described as a temperate climate.,
" A: Yes, a South African passport does need a visa for Singapore.",
 A: Tiger Zinda Hai is an Indian action thriller film directed by Ali Abbas Zafar. It is the sequel to the 2012 film Ek Tha Tiger and the second installment of the Tiger film series. The film stars Salman Khan and Katrina Ka,
 A: A day in Majora's Mask is 24 minutes long.,
" A: The origin of the phrase ""here we go round the mulberry bush"" is unknown.",
 A: Under the Cork Tree was released in 2005.,
" A: The Korean peninsula was divided into North and South Korea in 1945, when the Soviet Union and the United States occupied the country at the end of World War II.",
 A: The atom was discovered by Democritus in the 5th century BC.,
 A: The muscles that line the esophagus are used to move food down the esophagus.,
 A: The power to create appropriation bills falls under the power of Congress to appropriate money.,
 A: The movie Wonder is based off of the book Wonder by R.J. Palacio.,
" A: Eye of the round roast is a cut of beef from the round, or hind leg, of the cow. It is a lean, tender cut of meat that is best when cooked to medium rare.",
 A: The song Let Me Love You by Mario is a song about a man who is in love with a woman and wants to be with her.,
 A: James Madison,
 A: There are currently five seasons of Lost Girl.,
 A: South Africa,
 A: The percentage of the US population over 50 is about 25%.,
 A: The key to rescuing a man overboard is to get him back on board as quickly as possible.,
" A: The first NHL hockey game was played in Montreal, Quebec, Canada on December 19, 1917.",
" A: The movie is called ""A Place to Call Home"" and it stars Deborah Kerr.",
 A: 4.7 inches,
 A: The signals for apoptosis come from the mitochondria.,
" A: The song is by Elton John. It is from the movie ""The Big Lebowski"" and is called ""Someone Saved My Life Tonight"".",
 A: The first time Delhi was made the capital of India was in 1911.,
 A: Sydney,
 A: The 2017 NCAA Women's Division I Basketball Tournament was won by the South Carolina Gamecocks.,
 A: There are 12 episodes in the third season of Ray Donovan.,
 A: Bob Barker,
 A: Georges Clemenceau,
 A: The time change in Canada is on the second Sunday in March.,
" A: Jack Ryan lives in Baltimore, Maryland.",
 A: The famous objective co relative theory was given by the famous scientist Albert Einstein.,
" A: The name Mandy is a girl's name of English origin meaning ""God is gracious"".",
 A: Paleomagnetism is a dating method based on changes in the earth's polarity as demonstrated by the orientation of magnetic particles in rocks.,
 A: ATX cases are compatible with ATX motherboards.,
 A: The first cable stayed bridge was built in 1823.,
" A: Yes, Newman's Own gives all profits to charity.",
 A: He died in a car accident.,
 A: The Ten Commandments movement is a,
" A: Yes, he is still there.",
 A: Bullets fired in the air will fall back to the ground.,
 A: The movie Fargo is based on a true story.,
 A: The early Christian church was led by the apostles.,
" A: The Keep Calm and Carry On poster was created by the British government in 1939, during the beginning of World War II. The poster was intended to raise the morale of the British public in the event of a German invasion. The poster was never",
 A: The domain of life to which humans belong is Eukarya.,
 A: NFL Game Pass replays are available the day after the game.,
" A: The name Perry is a patronymic surname, meaning that it is derived from the name of the father of the bearer. The name is derived from the Old French word perre, meaning pear tree. The name was first recorded in England",
" A: The Gram stain is a method of staining bacteria to make them more visible under the microscope. It is named after the Danish bacteriologist Hans Christian Gram, who developed the technique in 1884.",
 A: The Warren Court ruled that constitutional protections did not extend to prisoners.,
" A: The 12 Cylons in Battlestar Galactica are: Number One, Number Two, Number Three, Number Four, Number Five, Number Six, Number Seven, Number Eight, Number Nine, Number Ten, Number Eleven, and",
 A: The new Jurassic World game is coming out in 2015.,
" A: The Triple Entente was the alliance between Great Britain, France, and Russia.",
" A: The Ties That Bind is a television series that aired on the ABC network from September 19, 1991 to May 18, 1992. It was created by Richard Levinson and William Link, who also created the Columbo series. The series starred",
" A: The Treaty of Versailles was signed by Germany on June 28, 1919. The treaty was signed by the representatives of the Allied and Associated Powers, and by the representatives of Germany.",
 A: The death penalty was reinstated in Oregon in 1984.,
 A: Straight bill of lading is a document of title to goods. Order bill of lading is a document of title to goods.,
" A: The Third Rome was a term used to describe Moscow, the capital of the Russian Empire, after the fall of Constantinople in 1453.",
 A: ICQ is an instant messaging program.,
" A: The third season of The Riveras starts on September 28, 2010.",
 A: The Chandra and Bhaga rivers meet at the place called Chandra-Bhaga.,
 A: The American Civil War was fought between the Union and the Confederacy.,
" A: No, the ball and socket joint allows for the greatest range of motion.",
" A: Yes, it does.",
 A: The subtitles start at the beginning of the movie.,
" A: The national flag of India was adopted on July 22, 1947.",
" A: Stevie Wonder's ""That's What Christmas Means to Me"" is a song from his 1985 album, ""Characters.""",
 A: Amenhotep IV,
 A: The problem of higher education in Bangladesh is that the government is not providing enough funds for the universities.,
" A: Chernobyl is a city in Ukraine. It is located in the north of the country, about 100 miles from Kiev. It is the site of the Chernobyl Nuclear Power Plant, which was the site of the world's worst nuclear accident.",
 A: Johannes Gutenberg,
" A: The song ""Angel of My Life"" was sung by the group ""The Heights"" in the movie ""The Heights"" in 1999.",
 A: The SA node begins electrical signaling at the beginning of the QRS complex.,
" A: The Traveling Wilburys were a supergroup consisting of George Harrison, Jeff Lynne, Bob Dylan, Tom Petty, and Roy Orbison.",
 A: Eva Green,
 A: Drake,
 A: regeneration,
 A: Haploid cells are found in the gametes (sperm and egg cells) and in the cells of the sex organs.,
" A: Lamb of God is a metal band from Richmond, Virginia.",
 A: The earth is made up of layers. The crust is the outer layer. The mantle is the layer below the crust. The core is the inner layer.,
 A: The Opposition with Jordan Klepper is filmed in New York City.,
 A: Olivia is a very beautiful woman and she is very charming. She is also very intelligent and she is very good at manipulating people. She is able to manipulate Malvolio into believing that she loves him. She is able to manipulate Malvol,
 A: The New York Giants last won the Super Bowl in 2008.,
 A: The next Step Up movie is coming out in August of 2010.,
 A: Robber Barons,
 A: The main character in Black Midas is a boy named Midas.,
 A: James Stewart,
" A: The Battle of Stirling Bridge was fought on September 11, 1297. The Scots under William Wallace defeated the English under John de Warenne, Earl of Surrey.",
 A: Mark Wahlberg plays Dylan in Daddy's Home 2.,
 A: The power to declare war.,
" A: The Ten Commandments are on the wall of the rotunda of the Capitol building in Washington, D.C.",
 A: The Chinatown bus stops at the corner of Canal and Bowery.,
 A: The Right to Buy scheme was introduced in 1980.,
 A: A CVV code is a security code on the back of a Visa gift card. It is used to verify that the card is valid and has not been stolen.,
 A: I don't know.,
" A: Intramural sports are sports played by students on their own time, usually in the evening or on weekends. Interscholastic sports are sports played by students on school time, usually during the school day.",
 A: 1 shot = 1.5 oz,
" A: The song ""Will I See You In September"" was written by Irving Berlin and was first performed by Bing Crosby in the 1944 film ""This Is the Army.""",
 A: The first gold coins were issued in India in the year 1835.,
 A: The highest Olympic female score on the vault in the Olympics was set by Svetlana Khorkina of Russia in the 2000 Olympics. She scored 9.712.,
 A: Sachin Tendulkar is the only player to have scored 10000 runs in ODI cricket.,
 A: New Jersey Drive is a 1995 action film starring Mark Wahlberg. It is about a young man who is sent to live with his uncle in New Jersey.,
 A: The UK mobile phone numbers start with 07.,
" A: Yes, Ghanaians need visa to go to Singapore.",
 A: Michael Schumacher has won the most F1 Grand Prix.,
 A: The present Rajya Sabha Speaker is Smt. Sumitra Mahajan.,
" A: The Winter Olympics are held every four years, and include sports such as bobsledding, curling, ice hockey, and skiing.",
 A: The latest series of Keeping Up With The Kardashians is the eighth series.,
 A: Keeping up with the Joneses is an idiom that means to try to match or surpass the achievements of one's neighbors or peers. The phrase is thought to have originated in the United States in the early 1900s.,
 A: Zoe Saldana plays the role of Gamora in the Guardians of the Galaxy movies.,
 A: 1. Poverty 2. Unemployment 3. Lack of education,
 A: The movie was filmed in the UK.,
 A: Bruce Jenner,
" A: Jerry Rice has the most catches in NFL history. He has 1,549 catches.",
" A: Stars are formed when a cloud of gas and dust collapses under its own gravity. The cloud becomes denser and hotter, and the center of the cloud becomes hotter and denser. Eventually, the center becomes hot enough to fuse hydrogen into helium",
" A: The film was shot in the UK, in the village of St. Buryan in Cornwall.",
 A: In a haystack.,
" A: In 1947, the British divided India into two countries: India and Pakistan. The British also divided the province of Bengal into two parts: East Bengal and West Bengal. East Bengal became part of Pakistan. West Bengal became part of India.
",
 A: The last time Mount Ruapehu erupted was in 2007.,
" A: The Andhra Pradesh State Handloom Weavers' Cooperative Society Limited is located in Hyderabad, Telangana.",
" A: The expression ""knock on wood"" comes from the superstition that if you say something bad, you will bring bad luck upon yourself.",
 A: The 2017 Beauty and the Beast was filmed in the UK.,
" A: Proposition 103, passed in 1988, made the insurance commissioner an elected position.",
 A: The number one pick in the NBA draft is the team that finished with the worst record in the NBA the previous season.,
 A: The seventh game of the World Series is played in the stadium of the team that won the sixth game.,
 A: The Department of Health is most often responsible for completing birth certificates.,
 A: The United States did not have problems with the Soviet Union on the high seas.,
" A: The song is ""The Way It Is"" by Bruce Hornsby.",
" A: The three Round Table Conferences were held in London, England, in 1930, in Delhi, India, in 1931, and in London, England, in 1932.",
 A: The Valley of the Dolls is based on the novel by Jacqueline Susann.,
 A: The ball in Guinness beer is a symbol of the company's commitment to quality. The ball is a symbol of the company's commitment to quality.,
 A: The function of trnas in protein synthesis is to carry the genetic code from the DNA to the ribosome.,
 A: The girl in the video is a model named Tawny Kitaen.,
 A: Paul Hogan,
" A: Michelle was written by John Lennon for his wife, Yoko Ono.",
 A: Trigger points are located in the body in the muscles.,
 A: The pH of a solution used to dye cloth must be controlled.,
 A: The last over of the 2007 World Twenty20 was bowled by Sreesanth.,
 A: ambulatory is a term used in health care to describe a patient who is able to walk without assistance.,
" A: The next Olympics will be held in Vancouver, Canada in 2010.",
 A: Muhammad Ali Pasha,
 A: The president is the chief diplomat of the United States. He or she is responsible for representing the United States in foreign affairs.,
" A: Canada, United States, Mexico, Greenland, Bermuda, Bahamas, Cayman Islands, Cuba, Jamaica, Haiti, Dominican Republic, Puerto Rico, Trinidad and Tobago, Bahamas, Barbados, Antigua and Barbuda, Saint Kitt",
 A: Shahid Afridi,
 A: The Eagles last went to the Super Bowl in 1980.,
" A: The 15% VAT is effective from 1st January, 2010.",
 A: The United States won its independence from Great Britain.,
 A: Tyra Banks,
 A: The faster moving star in a binary is the one that is moving towards us.,
 A: Sam Rockwell,
 A: The couple that got eliminated in Dance Champions 29 October 2017 was the couple of Nandini and Rithvik.,
" A: In the UK, a public holiday is a day when the majority of people do not have to go to work.",
 A: There are four branches of Reserve Bank of India in India.,
 A: Francis Bacon,
 A: There are over 100 Hilton Hotels in the UK.,
 A: The first political society started under British rule in India was the Indian National Congress.,
 A: Crossing over occurs during meiosis. It is important because it allows for genetic variation.,
 A: The modern world system ended in the early 1990s.,
 A: amitriptyline,
 A: The 7 major structures of a bacteria cell are: 1. Cell wall 2. Cell membrane 3. Cytoplasm 4. Ribosomes 5. Nucleoid 6. Plasmids 7. Capsule,
 A: The goal of the year was won by Zlatan Ibrahimovic for his overhead kick against England.,
 A: The NFL has fined players more than $1.5 million since the start of the 2000 season.,
 A: There are 12 marshmallows in each box.,
 A: The time zones in Australia are set by the Australian Standard Time Act of 1987. The time zones are set to be the same as the time zones in the state of South Australia.,
" A: The finale of Rising Star 2 will be held on Sunday, March 31, 2016.",
" A: Yes, the San Siro Stadium is shared by both Inter Milan and AC Milan.",
" A: Thomas Watson, chairman of IBM, 1943",
" A: The following countries do not require a visa to enter the UK: Andorra, Australia, Austria, Belgium, Brunei, Canada, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hong Kong,",
 A: The last time Philadelphia won the Super Bowl was in 1980.,
 A: The term pop music comes from the word popular.,
" A: The origin of the superstition is not known. Some say it is because of the arrest of the Knights Templar on Friday, October 13, 1307. Others say it is because of the Great Fire of London, which started on September 2",
 A: It's a Wonderful Life is a 1946 film starring James Stewart and Donna Reed. It was directed by Frank Capra. The film is about a man who is suicidal because he feels he has failed everyone in his life. He is given a,
,
" A: Yes, it is.",
 A: The slave trade was abolished in Nigeria in 1807.,
 A: The Speaker of the House administers the oath of office to the vice president.,
 A: The albatross is a symbol of bad luck.,
" A: A Canadian senator is a member of the Canadian Senate, the upper house of the Canadian Parliament.",
 A: A master at arms can be stationed on a ship or at a shore station.,
 A: Ram's brother Bharat became the king of Ayodhya after Ram.,
 A: Yuvraj Singh was the Man of the Match in the first match of the IPL.,
 A: Zack and Cody are twins.,
 A: Head to head is a game between two teams.,
 A: The Cathedral of Saint-Pierre.,
 A: Competitive intelligence is the process of gathering information about the competition. Business intelligence is the process of gathering information about the business environment.,
 A: The Treaty on the Functioning of the European Union (TFEU) is one of two treaties which form the constitutional basis of the European Union (EU).,
" A: The song is called ""Jack and Diane"" by John Mellencamp.",
 A: The first equus fossils were found in North America.,
" A: The Percy Jackson and the Olympians movie was filmed in Vancouver, British Columbia, Canada.",
" A: The United States has won a total of 1,873 medals in the Summer Olympics.",
 A: The last amendment to the constitution was passed in 1992.,
 A: The Zhou Dynasty continued to exist according to the Zhou Chinese.,
 A: sending money home to the native country is an example of?,
" A: LeBron James has scored over 20,000 points in his career.",
" A: The Foreign Account Tax Compliance Act (FATCA) is a United States federal law that requires United States persons to report their foreign financial accounts and offshore assets if the aggregate value of those assets exceeds $50,000.",
 A: The United States intervened in Latin American governments during the Cold War.,
" A: There have been three Indian Prime Ministers born in independent India. They are Jawaharlal Nehru, Lal Bahadur Shastri and Indira Gandhi.",
 A: I don't have anything since I don't have you.,
" A: Charlie is writing to his friend, Patrick.",
 A: Laguardia High School is a public high school in New York City. It is located in the Lincoln Square neighborhood of Manhattan.,
 A: The Real Thing is a play by Tom Stoppard. It was first performed in London in 1968.,
 A: Stan Wawrinka,
 A: Hugh Grant,
 A: The new season of Star vs. the Forces of Evil will be released in 2018.,
 A: The Soviet Union was formed in 1922 and dissolved in 1991.,
 A: The character of Santa Claus is based on the Dutch legend of Sinterklaas.,
 A: The voice of the We Have the Meats guy is a guy named John Moschitta. He is a professional voice-over artist. He has done a lot of voice-overs for commercials.,
" A: The next Iron Chef Super Chefs will be announced on the Food Network on January 7, 2008.",
 A: The red light area in Kolkata is located in Sonagachi.,
 A: The hormones of the anterior pituitary are created in the hypothalamus.,
 A: An unknown sample is a sample that is not known to be contaminated. A control is a sample that is known to be contaminated.,
" A: No, season 7 is not the last season of the Vampire Diaries.",
 A: The table tennis national championship was won by the team of Tamil Nadu.,
 A: The stars of your three sons are now in the sky.,
" A: One Direction's What Makes You Beautiful was filmed in London, England.",
 A: The best record in the WNBA is held by the Los Angeles Sparks. They have a record of 34-8.,
 A: In the 1940s.,
 A: The worst flu season in history was in 1918.,
 A: The New York State Senate Majority Leader is Malcolm Smith.,
 A: Michelangelo,
 A: The core of an optical fiber has a higher refractive index than the cladding.,
" A: The Facts of Life was a sitcom that ran from 1979 to 1988. It was about a group of girls who lived in a boarding house run by Mrs. Edna Garrett. The girls were Blair Warner, Natalie Green, Tootie Ramsey",
 A: Ben Savage,
 A: The song is by the band Good Charlotte.,
 A: The Virginia Cavaliers lost to the Duke Blue Devils in the NCAA Basketball Tournament.,
 A: Alabama has been to the Rose Bowl three times.,
 A: George II,
 A: Cinque Terre is located in the Liguria region of Italy. It is a group of five small villages on the Italian Riviera.,
 A: The Titanic was named after the Titan of Greek mythology.,
 A: Dr. Jekyll and Mr. Hyde,
 A: The powers not given to the federal government by the Constitution go to the states.,
 A: George W. Bush,
 A: The name Orozco is a Spanish name. It is a name that is used in Spain and Mexico.,
 A: That's So Raven is an American television sitcom that originally aired on the Disney Channel from January 2003 to November 2007. The series was a spin-off of the Disney Channel Original Series That's So Raven.,
 A: The Harlem River separates the Bronx from Manhattan Island.,
" A: Yes, you do.",
 A: Genotype frequencies are the frequencies of the different genotypes in a population. Allele frequencies are the frequencies of the different alleles in a population.,
 A: The average temperature in Ecuador in January is about 80 degrees Fahrenheit.,
" A: No, they don't.",
 A: The following are the list of Regional Rural Banks in West Bengal:,
 A: The red wolf is native to the southeastern United States.,
" A: Manchester United have played Manchester City the most times in the Premier League, with a total of 33 games.",
 A: Sam wanted Dean to become a vampire because he wanted to be able to have a normal life.,
" A: The song is called ""I Like the Way You Move"" by BodyRockers.",
" A: Yes, there is horse riding in the Commonwealth Games.",
 A: Escherichia coli,
 A: The Rock and Roll Hall of Fame was built in 1995.,
 A: Fire and fury is a phrase used by the president of the United States Donald Trump.,
 A: The Chief Election Commissioner is the head of the Election Commission of India.,
" A: One Foot in the Grave was a British sitcom that ran from 1990 to 1995. It starred Richard Wilson as Victor Meldrew, a man who was constantly irritated by the world around him. Victor was married to his wife, Margaret (played",
" A: The Diary of a Wimpy Kid was filmed in Vancouver, British Columbia, Canada.",
 A: The song Always Be Humble and Kind was written by John Prine.,
" A: Yes, the LM317 is an example of an IC.",
" A: Yes, all Xbox 360 games will work on the Xbox One.",
